click_date,current_lag,current_lag_label,current_redemption_rate,forecast_d14_redemption_rate,forecast_remaining_pp,historical_remaining_pp,activity_adjustment_factor,remaining_sample_count,confidence,active_events,reason
2026-05-01,11,D11,0.4478702989853743,0.4946156626706441,4.67453636852698,4.409939970308471,1.06,13,高,超U补贴日；U享礼金；跨店满减；直播间限时秒杀,当前看到D11，历史同成熟天数后续平均新增约4.41pp；点击日活动：超U补贴日；U享礼金；跨店满减；直播间限时秒杀。
2026-04-30,12,D12,0.316628423570766,0.35391890808272675,3.7290484511960735,3.107540375996728,1.2,14,高,百亿加补周；超U快抢日；U享礼金；品牌团 4月第三场；推广激励 4/27-4/30,当前看到D12，历史同成熟天数后续平均新增约3.11pp；点击日活动：百亿加补周；超U快抢日；U享礼金；品牌团 4月第三场；推广激励 4/27-4/30。
2026-04-29,13,D13,0.3035201925153488,0.3242962274775528,2.077603496220405,1.7313362468503375,1.2,15,高,百亿加补周；超U快抢日；U享礼金；品牌团 4月第三场；推广激励 4/27-4/30,当前看到D13，历史同成熟天数后续平均新增约1.73pp；点击日活动：百亿加补周；超U快抢日；U享礼金；品牌团 4月第三场；推广激励 4/27-4/30。
2026-04-28,14,D14,0.32620566595781086,0.32620566595781086,0.0,0.0,1.2,16,高,百亿加补周；超U快抢日；U享礼金；品牌团 4月第三场；推广激励 4/27-4/30,已到D14核销窗口，基本视为成熟。
2026-04-27,14,D14,0.31949382314852093,0.31949382314852093,0.0,0.0,1.2,16,高,百亿加补周；超U快抢日；U享礼金；品牌团 4月第三场；推广激励 4/27-4/30,已到D14核销窗口，基本视为成熟。
2026-04-26,14,D14,0.3341697907848591,0.3341697907848591,0.0,0.0,1.2,16,高,百亿加补周；超U快抢日；U享礼金；品牌团 4月第三场；推广激励 4/22-4/26,已到D14核销窗口，基本视为成熟。
2026-04-25,14,D14,0.3556973913531042,0.3556973913531042,0.0,0.0,1.2,16,高,百亿加补周；超U快抢日；U享礼金；品牌团 4月第三场；推广激励 4/22-4/26,已到D14核销窗口，基本视为成熟。
2026-04-24,14,D14,0.3218891639257174,0.3218891639257174,0.0,0.0,1.2,16,高,百亿加补周；超U快抢日；U享礼金；品牌团 4月第三场；推广激励 4/22-4/26,已到D14核销窗口，基本视为成熟。
2026-04-23,14,D14,0.3493052283818132,0.3493052283818132,0.0,0.0,1.2,16,高,百亿加补周；超U快抢日；U享礼金；品牌团 4月第三场；推广激励 4/22-4/26,已到D14核销窗口，基本视为成熟。
2026-04-22,14,D14,0.30295429057476747,0.30295429057476747,0.0,0.0,1.12,16,高,超U快抢日；U享礼金；推广激励 4/22-4/26,已到D14核销窗口，基本视为成熟。
2026-04-21,14,D14,0.30855580588319026,0.30855580588319026,0.0,0.0,1.06,16,高,超U快抢日；U享礼金,已到D14核销窗口，基本视为成熟。
2026-04-20,14,D14,0.30277038509635423,0.30277038509635423,0.0,0.0,1.06,16,高,超U快抢日；U享礼金,已到D14核销窗口，基本视为成熟。
2026-04-19,14,D14,0.30537665187729596,0.30537665187729596,0.0,0.0,1.1400000000000001,16,高,超级88 第二场；超U快抢日；U享礼金；品牌团 4月第二场,已到D14核销窗口，基本视为成熟。
2026-04-18,14,D14,0.3145779482475889,0.3145779482475889,0.0,0.0,1.1400000000000001,16,高,超级88 第二场；超U快抢日；U享礼金；品牌团 4月第二场,已到D14核销窗口，基本视为成熟。
2026-04-17,14,D14,0.32088302409949454,0.32088302409949454,0.0,0.0,1.1400000000000001,16,高,超级88 第二场；超U快抢日；U享礼金；品牌团 4月第二场,已到D14核销窗口，基本视为成熟。
2026-04-16,14,D14,0.3218559153998678,0.3218559153998678,0.0,0.0,1.1400000000000001,16,高,超级88 第二场；超U快抢日；U享礼金；品牌团 4月第二场,已到D14核销窗口，基本视为成熟。
2026-04-15,14,D14,0.3727218075246731,0.3727218075246731,0.0,0.0,1.1400000000000001,16,高,超级88 第二场；超U快抢日；U享礼金；品牌团 4月第二场,已到D14核销窗口，基本视为成熟。
2026-04-14,14,D14,0.32531142327060697,0.32531142327060697,0.0,0.0,1.06,16,高,超U快抢日；U享礼金,已到D14核销窗口，基本视为成熟。
2026-04-13,14,D14,0.30663315665928453,0.30663315665928453,0.0,0.0,1.06,16,高,超U快抢日；U享礼金,已到D14核销窗口，基本视为成熟。
